               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.076029,            0.074275,            0.070693,             0.88276,            0.023147,            0.042446,            0.013813,            0.078223,            0.036911,            0.067123,            0.009109,            0.009109,            0.009109
                  92,            0.076691,            0.071546,            0.067344,             0.76396,            0.043836,            0.044842,            0.017402,            0.073196,            0.036362,            0.066879,           0.0090991,           0.0090991,           0.0090991
                  93,            0.073589,            0.067363,            0.065957,             0.78348,             0.04957,             0.05027,            0.017625,            0.074882,            0.037376,             0.06604,           0.0090892,           0.0090892,           0.0090892
                  94,            0.075451,            0.068301,            0.071803,             0.81927,            0.051797,            0.057537,            0.019572,            0.075373,            0.036049,            0.066116,           0.0090793,           0.0090793,           0.0090793
                  95,            0.075178,            0.074076,            0.067317,             0.80625,            0.040732,            0.052586,            0.015743,            0.075904,            0.037056,             0.06543,           0.0090694,           0.0090694,           0.0090694
                  96,            0.076556,            0.064269,            0.066012,             0.78533,            0.045359,            0.060691,             0.02183,            0.071965,            0.035774,            0.065552,           0.0090595,           0.0090595,           0.0090595
                  97,            0.078104,            0.064985,            0.069471,             0.79957,            0.047231,             0.05755,            0.017122,             0.07627,            0.035843,            0.064651,           0.0090496,           0.0090496,           0.0090496
                  98,            0.075664,            0.064636,            0.070739,             0.75578,            0.057162,            0.069568,            0.023795,            0.073804,            0.036049,            0.064941,           0.0090397,           0.0090397,           0.0090397
                  99,            0.074595,            0.065875,            0.067288,             0.77442,            0.048067,            0.063168,            0.018367,             0.07129,            0.035919,            0.064316,           0.0090298,           0.0090298,           0.0090298
                 100,            0.074633,            0.069357,            0.070187,             0.78395,            0.057037,            0.060802,            0.021837,            0.073789,            0.034866,             0.06459,           0.0090199,           0.0090199,           0.0090199
                 101,            0.074869,            0.065093,            0.065611,             0.66519,            0.071207,            0.059363,            0.023026,            0.072963,            0.036621,            0.064346,             0.00901,             0.00901,             0.00901
